1980;6.35
1981;7.44
1982;8.07
1983;7.32
1984;8.43
1985;8.73
1986;8.88
1987;8.94
1988;8.46
1989;8.11
1990;7.87
1991;8.09
1992;8.99
1993;10.05
1994;10.43
1995;10.13
1996;10.53
1997;10.71
1998;10.32
1999;10.01
2000;8.58
2001;7.83
2002;7.95
2003;8.55
2004;8.90
2005;8.90
2006;8.86
2007;8.02
2008;7.48
2009;9.08
2010;9.28
2011;9.20
2012;9.80
2013;10.27
2014;10.20
2015;10.09
2016;9.89
2017;9.69
2018;9.47
